"the_date","the_sentence","Revision","newtext"
2012-04-17,"In the judgment of my right Honourable Friend, are the tragic events in Syria a genuine national uprising against a tyrannical regime or a power struggle between the Sunni and the Shi’a and their foreign backers, which, if it results in the overthrow of the Alawite regime, could lead to tragic results for some of the other minorities in that country, including the 350,000 Christian Syrians?","Present","In the judgment of my right Honourable Friend, are the tragic events in Syria a genuine national uprising against a tyrannical regime or a power struggle between the Sunni and the Shi’a and their foreign backers, which, if it results in the overthrow of the Alawite regime, could lead to tragic results for some of the other minorities in that country, including the 350,000 Christian Syrians?"
2010-03-22,"I was in Manchester this morning, visiting the Stockport police.","Present","I was in Manchester this morning, visiting the Stockport police."
2003-12-01,"I begin with the subject that was chosen for today's debate and on which Front-Bench Members concentrated: planning, housing and fire.","Present","I begin with the subject that was chosen for today's debate and on which Front-Bench Members concentrated: planning, housing and fire."
1996-04-01,"Although lottery money is not distributed on a quota basis, all distributing bodies intend that the distribution of lottery funds should be monitored over time.","Present","Although lottery money is not distributed on a quota basis, all distributing bodies intend that the distribution of lottery funds should be monitored over time."
1983-12-07,"Is that why no significant attention was given to subjects such as Cyprus, the world recession and, particularly, the Lebanon?","Past","Is that why no significant attention was given to subjects such as Cyprus, the world recession and, particularly, the Lebanon?"
1990-03-06,"It was necessary to the fight against terrorism for the same powers to exist before 1982.","Past","It was necessary to the fight against terrorism for the same powers to exist 8 years and 2 months ago."
1985-07-26,"I should like to pay tribute to the work of the National Society for the Prevention of Cruelty to Children, founded in 1884.","Past","I should like to pay tribute to the work of the National Society for the Prevention of Cruelty to Children, founded in 1884."
1985-05-07,"Can the Under-Secretary recall the Minister telling us last month that one of the reasons for the loss of job opportunities in Lambeth was high rates?","Past","Can the Under-Secretary recall the Minister telling us last month that one of the reasons for the loss of job opportunities in Lambeth was high rates?"
1984-05-25,"They state That there is one entrance and exit to the Medway estate, Perivale, necessitating the negotiation of a bend on the eastern side of Medway Parade; That people persist in parking their vehicles on this bend, particularly the car dealer situated on that bend, and the Chalfont Line coach company which parks its coaches there; That the result of this parking is that vehicles coming in opposing directions cannot see each other until they are face to face, with possible tragic consequences; That repeated representations have been made to the police who seem powerless to do anything about it.","Present","They state That there is one entrance and exit to the Medway estate, Perivale, necessitating the negotiation of a bend on the eastern side of Medway Parade; That people persist in parking their vehicles on this bend, particularly the car dealer situated on that bend, and the Chalfont Line coach company which parks its coaches there; That the result of this parking is that vehicles coming in opposing directions cannot see each other until they are face to face, with possible tragic consequences; That repeated representations have been made to the police who seem powerless to do anything about it."
2007-11-14,"That is calculation, not conviction.","Present","That is calculation, not conviction."
2013-02-06,"I have here the executive summary to the report; it alone is 100 pages long.","Present","I have here the executive summary to the report; it alone is 100 pages long."
1979-11-23,"The Question is, That Mr Keith Best be a member of the Committee on Welsh Affairs.","Present","The Question is, That Mr Keith Best be a member of the Committee on Welsh Affairs."
1994-02-17,"What do other nations do?","Present","What do other nations do?"
1989-03-22,"It means that there is a whipped, arm-twisted, bullied and cajoled majority for it.","Present","It means that there is a whipped, arm-twisted, bullied and cajoled majority for it."
